References,Qty,Description,Manufacturer,MPN,RS,Manufacturer_1,MPN_2,Manufacturer_3,MPN_4,Manufacturer_5,MPN_6,Manufacturer_7,MPN_8,Digikey,Mouser,RS,Newark,Farnell
220 ? resistor,3,,RS,RLR07C2200FSB14,845-7511,Electronics,220 ? through hole resistor,https://www.digikey.com/products/en?keywords=CF14JT220RCT-ND,,,,,,,,,,
Voltage step-down regulator,1,,RS,LM2596T-5.0/NOPB,533-3743,Electronics,"5V, 3A",https://uk.rs-online.com/web/p/buck-converters/5333743/,,,,,,,,,,
Capacitor 680 �F,1,,RS,EEUFM1E681,526-1569,Electronics,24V minimum,https://uk.rs-online.com/web/p/aluminium-capacitors/5261569/,,,,,,,,,,
Capacitor 220 �F,1,,RS,EEUFM1E221,526-1480,Electronics,24V minimum,https://uk.rs-online.com/web/p/aluminium-capacitors/5261480/,,,,,,,,,,
Diode 1N5824,1,,RS,1N5822RL ,714-6819�,Electronics,24V minimum,https://uk.rs-online.com/web/p/rectifier-schottky-diodes/7146819/,,,,,,,,,,
Inductor 33 �H,1,,Farnell,RLB0914-330KL,,Electronics,,https://uk.farnell.com/bourns/rlb0914-330kl/inductor-33uh/dp/2309242,,,,,,,,,,
3 mm LED,1,,RS,LN28RPX,169-7966,Electronics,"3mm round, throughhole, grn",https://www.digikey.com/product-detail/en/dialight/5219210F/350-1557-ND/808955,,,,,,,,,,
Mount for 3 mm LED,1,,Digikey,67-1330-ND,,Electronics,3mm panel mount,https://www.digikey.com/products/en?keywords=67-1330-ND,,,,,,,,,,
BNC coaxial connectors,2,,Farnell,1-1337542-0,,Electronics,"Right angle jacks, 50ohm",https://uk.farnell.com/greenpar-te-connectivity/1-1337542-0/rf-coaxial-bnc-right-angle-jack/dp/1020954?st=bnc%20pcb%20mout,,,,,,,,,,
Cable Mount BNC Connector,1,,RS,546-3721,546-3721,Electronics,Plug Crimp Termination,https://uk.rs-online.com/web/p/bnc-connectors/5463721/,,,,,,,,,,
2 way screw terminal block,2,,RS,1985807,467-0259,Electronics,3.5mm pitch,https://uk.rs-online.com/web/p/products/4670259/?grossPrice=Y&cm_mmc=UK-PLA-DS3A-_-google-_-PLA_UK_EN_Connectors-_-Pcb_Connectors%7CPcb_Terminal_Blocks-_-PRODUCT+GROUP&matchtype=&pla-447115742847&gclid=EAIaIQobChMIyIGw5qKm3QIVybTtCh2k9wexEAQYAyABEgJG8fD_BwE&gclsrc=aw.ds,,,,,,,,,,
2 distinc colour wires,20 cm,,RS,3053 BK005,331-862,Electronics,20 AWG,https://uk.rs-online.com/web/p/hookup-equipment-wire/0331862/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3333312D383632267374613D3033333138363226,,,,,,,,,,
Cable shrink,5 cm,,RS,RNF-100-3/32-0-STK,170-6377,Electronics,Shrunk diameter 1.2 mm,https://uk.rs-online.com/web/p/heat-shrink-cold-shrink-sleeves/1706377/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3137302D36333737267374613D3137303633373726,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
M3 x 24 screw,4,,RS,293-325,293-325,Mechanical,M3 x 24 Hex socket cap,https://uk.rs-online.com/web/p/socket-screws/0293325/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3239332D333235267374613D3032393333323526,,,,,,,,,,
M3 nut,4,,RS,122-4400,122-4400,Mechanical,M3 nuts,https://uk.rs-online.com/web/p/hex-nuts/1224400/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3132322D34343030267374613D3132323434303026,,,,,,,,,,
M3 x 5 machine screw,2,,RS,4979874451873,489-9315,Mechanical,M3 x 5mm screw,https://uk.rs-online.com/web/p/machine-screws/4899315/,,,,,,,,,,
